number	title	pageid	namespace	length	touched
10970	BitComet	733720		2445	20230908110052
10971	Frank_Sturgis	733762		4565	20220406094729
10972	Virgilio_R._González	733852		2132	20220617054516
10973	Michael_Spreng	733897		5987	20230808165524
10974	Eugenio_Martínez	733940		3038	20211024093325
10975	Vince_Clarke	734004		28589	20230906061915
10976	No23_Recorder	734008		1790	20230127133329
10977	James_W._McCord,_Jr.	734074		5407	20230615194738
10978	Wahl-O-Mat	734096		31420	20230627190855
10979	Netstat	734155		2628	20210521034407
10980	Thomas_Kyte	734173		1455	20210419142123
10981	Fernerkundungsinstrumente_zur_Umweltbeobachtung	734178		2903	20111221174328
10982	Lempel-Ziv-Oberhumer	734265		4857	20220314152134
10983	The_Committee_to_Re-elect_the_President	734365		3252	20230611060505
10984	Ron_Ziegler	734460		3459	20200525071304
10985	Wētā_FX	734881		6515	20230810161809
10986	Massive	734915		4333	20230125083638
10987	MrSID	734925		1442	20190529183416
10988	Zugriffsmodifikator	734954		10254	20200311092559
10989	Strawpoll	734961		1499	20210620191954
10990	Rainlendar	734998		2817	20201210205947
10991	Breakcore	735069		8741	20230623170154
10992	Wavelet-Paket-Transformation	735087		5604	20211226094054
10993	Whoami	735127		4576	20230523002517
10994	WS-Business_Process_Execution_Language	735181		14199	20221217171301
10995	Schlüsselkandidat	735339		164	20210105190306
10996	Galaga	735386		9862	20221217140951
10997	Galaxian	735443		4620	20230304125650
10998	Pluggable_Authentication_Modules	735621		2461	20180211230313
10999	Mean_Opinion_Score	735632		4410	20230104102847
11000	Lula_(Computerspielreihe)	735643		2160	20230809145941
11001	IRMX	735659		1289	20220930143436
11002	KOI7	735808		2616	20220928205606
11003	Max/MSP	735970		7041	20230804211657
11004	Donald_Segretti	736110		4606	20130401060236
11005	Spooky_(Musikduo)	736358		1344	20230506215308
11006	LiMux	736362		38333	20230730233243
11007	Binary_Format_for_Scenes	736576		5798	20210402183958
11008	Geheimhaltungsgrad	736591		50885	20230828050204
11009	Longitudinal_Recording	736637		1590	20210111203849
11010	Auftragsauktion	737002		10514	20221006071637
11011	Sender/Empfänger,_mobil	737006		2984	20220520060605
11012	Common_Open_Policy_Service	737011		1708	20230726215947
11013	Lee_De_Forest	737049		11369	20230722131504
11014	Remote_Publishing	737083		4496	20210805210556
11015	Flotten-Management-Schnittstelle	737174		2769	20220112191752
11016	GCompris	737389		2162	20190305192740
11017	Computer_Bild_Spiele	737625		11700	20230618003526
11018	Norton_AntiVirus	737873		5607	20230911145218
11019	Interactive_Data_Language	737922		2037	20190916075639
11020	Hosts_(Datei)	737963		10556	20230714073518
11021	Harvard_Graphics	738112		2263	20221113004746
11022	T-Netz	738189		1308	20230808090705
11023	LexisNexis	738211		12653	20230524164430
11024	Fluginstrument	738344		4456	20200901114837
11025	Kilobit_pro_Sekunde	738399		157	20200614120516
11026	Maxtor_Corporation	738604		3122	20200403160134
11027	Conditional-Sum-Addition	738610		1570	20200316143051
11028	Homebrew_Computer_Club	738705		6281	20210707090509
11029	Dekonvolution	738760		5419	20211011223747
11030	Metacoon	738795		8671	20221016192523
11031	Douglas_A-1	739080		24175	20230802120001
11032	Perilex	739135		7863	20230824121319
11033	Mikropunkt	739286		3677	20221228205334
11034	PocoMail	739556		4646	20230910133404
11035	Johnathan_Wendel	739558		3325	20221027065600
11036	The_Lost_Vikings	739652		6723	20220901173553
11037	Magisches_Auge_(Radio)	739682		9437	20230525085107
11038	Mamiya_ZD	739953		1957	20210113183544
11039	Trincomalee	739960		8330	20230712165020
11040	Nutzenversprechen	740156		3175	20190905210856
11041	Mobile_Station_Roaming_Number	740312		809	20180112084816
11042	Temporary_Mobile_Subscriber_Identity	740327		668	20170601162645
11043	Kurt_Krömer	740336		25008	20230905082307
11044	Remote_Function_Call	740408		2791	20190212125347
11045	ARIS_Toolset	740501		9486	20220909202530
11046	Smoothed_Particle_Hydrodynamics	740530		15722	20230615113350
11047	10-Minuten-Abschrift	740581		3613	20211019152406
11048	Business_Process_Modeling_Language	740763		1940	20200712113818
11049	ReStructuredText	740881		3497	20221219102735
11050	Business_Process_Model_and_Notation	740928		19902	20230808115655
11051	Videospielkultur	741054	Category	427	20230220190609
11052	Lookup-Tabelle	741155		11125	20230115104016
11053	Dassault_Systèmes	741200		5792	20230629221541
11054	Hörnli_(Berg)	741212		16778	20230813110310
11055	WikkaWiki	741232		3113	20210928121022
11056	ECATT	741240		3470	20171204101749
11057	Marinesimulation	741280		7880	20220331171616
11058	Tile-Engine	741350		1247	20230216121341
11059	Isometrie-Engine	741361		3305	20230216121217
11060	Conner_Peripherals	741477		848	20190316200135
11061	Lernobjekt	741786		5608	20230217171026
11062	Computer_Sciences_Corporation	741820		8977	20230813054657
11063	Centipede_(Computerspiel)	741971		6554	20230711194239
11064	Meridian_59	741988		22320	20230520172243
11065	Grafikzeichen	742001		1271	20170402181800
11066	IVAO	742016		16287	20230128174645
11067	Liste_der_Datenbankmanagementsysteme	742019		17624	20230724183321
11068	Coil_(Band)	742111		7499	20220514091942
11069	Negative_Logik	742163		54	20060818113036
11070	Zeigermessgerät	742267		3437	20220523131741
11071	Reusable_Learning_Object	742276		6440	20190804124142
11072	Liste_von_Webframeworks	742328		6801	20230806135704
11073	Global_File_System	742453		4435	20170208124037
11074	Robert_Görl	742466		5074	20230808141419
11075	Hackers_on_Planet_Earth	742507		6767	20230803163238
11076	Verteilte_Anwendung	742523		1390	20230804102031
11077	YAML	742577		10229	20230711071336
11078	First_Lego_League	742659		12463	20230707080025
11079	Ansys_(Software)	742698		4016	20221024122221
11080	MicroOS	742763		2847	20230705102803
11081	Bernard_Barker	742800		9197	20230522075734
11082	Betriebssicherheit	742879		7146	20220508074100
11083	Wistron	742950		6823	20230817182419
11084	DVB	742966	Category	154	20130402005025
11085	Energiezähler	743102		185	20120111180414
11086	Lagrange-Multiplikator	743325		19538	20230805040627
11087	LAN_Manager	743431		2605	20190809231846
11088	Max_Wien	743589		7492	20230501164942
11089	POLIKS	743619		6358	20220802095921
11090	Atomiswave	743751		2879	20210729172035
11091	Black_Box_Recorder	743811		1623	20220526121645
11092	Sega_NAOMI	743872		4644	20230818170045
11093	Kleincomputer	743984		989	20220801085218
11094	Sachmerkmal-Liste	743999		5869	20200112200953
11095	Entscheidungstabelle	744116		9763	20220207154616
11096	Qix	744141		4655	20220507081140
11097	Integritätsbedingung	744148		7397	20230505073503
11098	Eclipse_Modeling_Framework	744201		5645	20220215191207
11099	Namco_System_12	744398		2272	20191205141304
11100	Querverweis	744439		2190	20220531160021
11101	Pan_Sonic	744440		7870	20201122101201
11102	C++-Standardbibliothek	744505		13980	20230806132816
11103	Software-Interrupt	744518		5827	20230613182501
11104	Peter_Naur	744621		7496	20220922112549
11105	Simple_Authentication_and_Security_Layer	744704		3587	20230612152321
11106	John_Ehrlichman	744877		12302	20230221122455
11107	The_Soundlovers	744926		12875	20230520094150
11108	YEnc	744984		4434	20230619203532
11109	ExpressCard	745029		7662	20230816073622
11110	BGRUND	745141		752	20210214181458
11111	IT-Grundschutz-Kataloge	745283		20280	20230824111437
11112	Fernsehturm_Guangzhou	745322		2203	20210626105646
11113	3Lux	745372		3197	20230312102851
11114	Anjuta_(Software)	745466		2596	20230908092849
11115	Gobliiins	745532		4623	20230408061400
11116	Jahr-2038-Problem	745542		13071	20230819142626
11117	TwinVQ	745590		3211	20190529191329
11118	August_Karolus	745635		8273	20230203003408
11119	Pentax_*ist_DL	745729		6263	20190307225917
11120	Stuttgart_Neural_Network_Simulator	745860		2335	20190825112835
11121	Phasenzentrum	745952		1150	20130507223704
11122	HSQLDB	745958		4704	20220725045258
11123	CMOS-RAM	746104		4053	20230330231100
11124	John_Dean_(Publizist)	746251		5781	20230816124129
11125	Supreme.ja	746350		6315	20220618061438
11126	Fernkabel	746433		8749	20201109180957
11127	Aussprachedatenbank	746474		1001	20151020203104
11128	Competition_Pro	746726		12411	20230804175619
11129	Fish_(Kryptologie)	746736		4133	20201110140324
11130	Alexander_Butterfield	746741		4376	20210210103617
11131	Jan_Gustafsson	746748		15790	20230822135032
11132	Clevo	746771		1596	20220525075157
11133	Thompson-Shell	746862		6288	20230214172308
11134	Alice_und_Bob	747189		6105	20230316121940
11135	E-Learning	747413	Category	180	20170529193546
11136	KallistiOS	747522		2067	20120826211841
11137	Iriver	747535		8622	20221119014849
11138	Schaltungssimulation	747613		10684	20230318211925
11139	Motorschutz_(Elektrotechnik)	747640		18844	20230830075752
11140	Fensterfunktion	747728		26918	20221102052024
11141	Smear	747735		3627	20190105150957
11142	Fancy_(Sänger)	747883		14474	20230630163556
11143	Konnektor_(Informationstechnik)	747964		14619	20230603045405
11144	Ruhezustand	748121		10115	20230220125706
11145	GÉANT	748402		3442	20230219131737
11146	Sita_(IT-Unternehmen)	748408		2614	20230713141701
11147	Mathematics_Genealogy_Project	748455		3476	20230428203407
11148	Netcat	748458		12346	20230115133521
11149	Beowulf_(Cluster)	748504		1423	20220208195636
11150	Common_Information_Model	748595		2706	20220518122908
11151	Mastertronic	748818		5893	20220811111020
11152	Firebird_Software	748872		3265	20220828143051
11153	Dynamisches_Software-Testverfahren	748916		15825	20230318134735
11154	One_Click_Charity_Donation	748919		7332	20220408050049
11155	LCD_Soundsystem	748960		10114	20230130185254
11156	Alias_(Unternehmen)	749103		7480	20221219024348
11157	Extended_Capabilities_Port	749150		1359	20150826203628
11158	Mars_(Raumsonde)	749210		13105	20230610081147
11159	Bigben_Interactive	749283		16441	20230527131205
11160	Pixeltakt	749372		1203	20200828004313
11161	Web_Modeling_Language	749395		904	20230301230910
11162	Mycroft	749519		4245	20190529191538
11163	Patric_Catani	749702		9258	20221122010128
11164	Association_for_Progressive_Communications	749821		1674	20180703091410
11165	Dead_or_Alive_(Computerspielreihe)	749920		53277	20230810125410
11166	Grand_Theft_Auto_III	749997		21318	20230813084038
11167	RISTOME-Tastaturbelegung	750268		2000	20221126151245
11168	Fahrgastinformationssystem	750431		9649	20230603190257
11169	Mario_Davidovsky	750548		3795	20220618052001
11170	SSH_File_Transfer_Protocol	750560		3616	20200304132755
11171	GEOFOX	750570		3468	20230507061804
11172	Telemonitoring	750615		2937	20210804125810
11173	Rugrats	750623		8474	20230708043431
11174	CL-Netz	750630		10405	20220825143559
11175	Programmiergerät	750671		3973	20220903092926
11176	Hearts	750726		12498	20221228100617
11177	Serv-U_FTP-Server	750753		3176	20211123144456
11178	Columbia_(Supercomputer)	750762		2065	20230909094128
11179	FTP_Voyager	750765		2684	20221024224744
11180	FTP-Server	750781	Category	409	20130731090755
11181	FTP-Client	750783	Category	541	20130402045544
11182	Physische_Auszeichnungen	750833		1558	20150314175731
11183	Logische_Auszeichnungen	750838		1906	20200223081535
11184	Adaptives_Routing	750847		3493	20230905185245
11185	ACDSee	750907		7769	20230409164103
11186	IT-Forensik	750935		6042	20230625210955
11187	Jakarta_XML_Binding	751473		9549	20220202055344
11188	SGS-Thomson_ST20	751569		2348	20210705101902
11189	Device-Management_(Internet-of-Things)	751640		3940	20221023120511
11190	Lotus_Word_Pro	751726		2094	20210116101116
11191	Lotus_Approach	751812		3650	20230717164518
11192	Wideband_CDMA	751822		2272	20230130084811
11193	Noxon_Entwicklungs_GmbH	751832		7186	20220124124200
11194	FlashFXP	751933		3838	20191203112943
11195	Pulsphasenmodulation	752144		1664	20230516211705
11196	Front_Line_Assembly	752230		12104	20211220080508
11197	Apple_Advanced_Typography	752779		1244	20210425111426
11198	Einkabelsystem	752841		21160	20220830205745
11199	Pfeiltaste	753191		2596	20230516014035
11200	UIQ	753228		4962	20190808123930
11201	COINTELPRO	753406		10451	20230613063825
11202	Fernmeldeverkehr-Überwachungs-Verordnung	753622		3153	20210616202526
11203	MAMP	753885		184	20210802080602
11204	Layer_2_Tunneling_Protocol	754036		20469	20230718185742
11205	Maurizio_Bianchi	754319		19102	20230208172521
11206	Sternchen_(Radio)	754494		2338	20230325182846
11207	Fedora_Repository	754529		1267	20180927094019
11208	BSI_OSS_Security_Suite	754759		2245	20211115153826
11209	IRTAD	754849		2072	20230413091045
11210	Fadenstrahlrohr	754994		4715	20230123213110
11211	GUI-Toolkit	755007		2985	20230503223241
11212	Ionos	755017		13823	20230908093422
11213	Aktivitätsdiagramm	755062		7802	20230603125851
11214	Objektknoten_(UML)	755149		2557	20230414110621
11215	Aktivitätsparameterknoten	755290		1458	20170119070944
11216	Shawn_Fanning	755451		3164	20221126140604
11217	KoalaPainter	755515		3755	20230415194836
11218	Krankenversichertennummer	755570		7763	20230802132026
11219	Cinefacts	755912		6638	20220226084316
11220	The_Chaos_Engine	755924		3565	20220204055709
11221	Internetgateway	756036		828	20211122111159
11222	Ganzzahlüberlauf	756082		163	20211216195709
11223	Web-Seminar	756168		8661	20230415154642
11224	Wireless_Wide_Area_Network	756268		2281	20220626175402
11225	PowerBook_5300	756348		3673	20221112225706
11226	WAD_(Dateiformat)	756398		962	20230720164131
11227	Namco_System_11	756427		1429	20171108174349
11228	GarageGames	756474		2352	20230823111533
11229	Verlag_Herder	756542		12021	20230423171116
11230	Helmut_Gröttrup	756685		49512	20230831174219
11231	Directory_Traversal	756832		6767	20230709120852
11232	John_Henry_Constantine_Whitehead	756880		5595	20210801152002
11233	Videoüberwachungsanlage	756894		209	20210207214149
11234	Bounce_Message	756955		7199	20230609195533
11235	Software_AG	757029		19051	20230905070631
11236	PAgP	757037		990	20200605043722
11237	4hero	757146		2622	20201204203731
11238	CLISP	757152		2440	20210821155636
11239	XScale	757439		7457	20230509203246
11240	Fierce	757488		1291	20141122003937
11241	Richtlinie_95/46/EG_(Datenschutzrichtlinie)	757679		17070	20230414173618
11242	Eckart_Modrow	757818		5926	20211108184724
11243	Abfrageplatz	757850		3963	20211228200429
11244	Basic_Channel	757900		7794	20221008222543
11245	David_Filo	758064		1627	20221222111536
11246	Anna_Swelund	758101		2062	20220520133904
11247	Claudia_Eckert	758177		7715	20230403050128
11248	Nokia_Nseries	758236		60736	20230706134509
11249	Jürgen_Gallmann	758283		5614	20230317150918
11250	Max-Planck-Institut_für_Softwaresysteme	758367		2825	20221114165002
11251	HTBasic	758413		2890	20200215204550
11252	Jugendsoftwarepreis	758421		193	20160819233745
11253	LL-Parser	758456		4693	20210406175549
11254	ResEdit	758465		1000	20220911102253
11255	Soul_Blade	758513		12579	20220512034218
11256	Shuttle_Inc.	758523		5274	20230410153831
11257	IMSI-Catcher	758601		22731	20230816153602
11258	Envelope_Sender	758667		2627	20230621124934
11259	Hayes_Microcomputer_Products	758737		4541	20230824164548
11260	Artificial_Intelligence_Markup_Language	758795		6526	20221103202027
11261	Body_Area_Network	758858		6844	20230909101758
11262	Online-Umfrage	758928		25287	20221011041849
11263	Another_World_(Computerspiel)	758932		20309	20230910170638
11264	Symbolische_Mathematik	759034		1532	20230515083005
11265	DEHOMAG	759714		15589	20230407012937
11266	SubSeven	760138		2464	20230811211121
11267	OpenURL	760371		3617	20221213215421
11268	WinEdt	760462		1296	20230910110941
11269	Permission_Marketing	760513		4054	20220909090038
11270	Sharelook	760555		2270	20170908053333
11271	Fire_and_Ice_(Computerspiel)	760680		3315	20230224105342
11272	Zeilenabdeckungstest	760684		179	20081022164109
11273	CloneCD	760694		6068	20220817222727
11274	Mind_the_Gap_(Album)	760759		11343	20230822165708
11275	The_Stadium_Techno_Experience	760890		10596	20220708071721
11276	Systems	761156		5549	20220216082527
11277	Compositing	761296		10936	20220422160725
11278	Sender_ID	761372		2517	20230303201328
11279	Odo_J._Struger	761390		2109	20190923003045
11280	Sendeturm_Bol_d’Air	761425		6335	20230711153518
11281	Sender_Egem	761432		3530	20230420163849
11282	SpamPal	761440		4653	20230430163823
11283	Nullflag	761449		1039	20150228193632
11284	ZB_MED_–_Informationszentrum_Lebenswissenschaften	761492		12944	20221020170318
11285	Hydra_(Schachcomputer)	761732		5147	20210731140356
11286	Al@din	761736		2765	20210609153913
11287	C.O._(Club_Oriented)	761865		1519	20220425160712
11288	Venice_Beat	761890		1026	20230411205204
11289	Robotron_Z_9001,_Robotron_KC_85/1,_Robotron_KC_87	762106		66166	20230712103100
11290	Windows_Server_Update_Services	762119		6008	20220831085602
11291	Commodore_64_GS	762707		165	20230711134320
11292	E-Mail-Loop	762881		2978	20230819143330
11293	WoltLab_Burning_Board	762955		27641	20230910091251
11294	Webforum	762970	Category	53	20200420174152
11295	Header_(E-Mail)	762986		17479	20230801163959
11296	CiteSeerX	763035		2579	20221011123523
11297	Periodengruppe	763112		2912	20230902171039
11298	Cannon_Fodder	763113		8383	20220717023402
11299	Volker_Wertich	763248		6014	20230824103031
11300	Multiples_Feld	763309		2306	20230903115649
11301	Battlefield_1942	763311		15686	20230908133445
11302	Dong_Fang_Hong	763320		33990	20230805082229
11303	Witty_(Computerwurm)	763378		7651	20230330202933
11304	Inductive_Output_Tube	763448		2606	20221026220349
11305	Magix_Video_deluxe	763484		11829	20230203151433
11306	Kingsoft	763610		4044	20230222194701
11307	Pro_Evolution_Soccer	763651		48501	20230805095523
11308	Desperados_(Computerspielreihe)	763666		7595	20230806110424
11309	SpeedCommander	763826		3169	20220610201001
11310	Line-Sharing	764250		6489	20221030111854
11311	Entbündelung	764253		12673	20230308193802
11312	Bitstromzugang	764259		10301	20230616201523
11313	Finder_(Mac)	764467		22457	20220719080218
11314	Hauptverteiler	764600		9229	20230520155031
11315	OTRS	764833		18521	20230606181124
11316	Datenschutz_Nachrichten	764913		2071	20230315185425
11317	Low-Density-Parity-Check-Code	764943		13184	20230910210322
11318	VISYON	765176		2261	20200228230806
11319	Lautlos_im_Weltraum	765357		16900	20221220202300
11320	Moritz_von_Oswald	765447		8633	20230911070519
11321	Mark_Ernestus	765448		5977	20230815133639
11322	Leveldesign	765539		10626	20230831164023
11323	Techno-Club	765616		9398	20230714143534
11324	Dm-crypt	766040		14178	20220428053814
11325	Datenbankoperator	766047		6933	20211016120512
11326	Datagram_Delivery_Protocol	766185		5320	20201016102305
11327	SQX	766273		2741	20210712160807
11328	Festplattencrash	766300		1194	20130730151325
11329	Game_Time_Code	766382		106	20080113194131
11330	Distance_Vector_Multicast_Routing_Protocol	766395		2468	20230819143640
11331	Michael_Hoenig	766633		4955	20230318104638
11332	Peter_Druschel	766810		2865	20220621104517
11333	Chroot	766846		13021	20230224164158
11334	FOX_(Algorithmus)	766898		1544	20210207162328
11335	Halloween-Dokumente	766927		6988	20230509233209
11336	Schwacher_Perfekte-Graphen-Satz	766964		1431	20190317194841
11337	Deskmodding	766993		5498	20220116162546
11338	Palm_LifeDrive	767087		3089	20200104063658
11339	S1-Netz_DDR	767316		6555	20230110062144
11340	Clanwar	767383		2548	20210321202641
11341	Aggregation_(OLAP)	767436		8489	20180129134528
11342	Eudora_(Software)	767715		5543	20200121140035
11343	Liste_von_Wiki-Software	767871		31352	20230703192219
11344	Atomar	767944		2389	20201130120714
11345	Message-ID	767973		6121	20230803184009
11346	Evils_Toy	768366		2388	20230310165211
11347	Material_Exchange_Format	768521		4751	20230313090018
11348	Satz_von_Lovász	768564		99	20120925143427
11349	Computerfreak	768662		4188	20211128142830
11350	Håkon_Wium_Lie	768702		2260	20200606101142
11351	Nummerung	768859		11096	20230903114401
11352	Goliath_(Funk)	768865		5907	20220808143132
11353	Digital_Anvil	768879		6131	20221022184733
11354	Brockhaus-Duden_Neue_Medien	769005		3280	20230610200327
11355	Linux_Mark_Institute	769112		2445	20230212215659
11356	Jazz_Jackrabbit	769114		5797	20230522141848
11357	Papaya_CMS	769132		7639	20220504061812
11358	ZZT_(Computerspiel)	769135		4963	20220825152140
11359	Sichere_Inter-Netzwerk_Architektur	769189		4403	20221018092104
11360	Keyword-Driven_Testing	769336		4685	20220707091610
11361	Disintermediation	769365		15615	20230119094116
11362	Binärcode	769412		12960	20230907113040
11363	Heinz_Rutishauser	769556		6403	20230527220054
11364	Augendiagramm	769564		3772	20210324103840
11365	Enlightened_Sound_Daemon	769688		1433	20211002165554
11366	Generic_Interface_Specification	769835		1532	20130203144945
11367	Jill_of_the_Jungle	769932		2740	20211030124351
11368	Zazie_(Künstlerin)	770051		2161	20220930233923
11369	Charles_Goldfarb	770055		1385	20230410070453
11370	What_The_Hack	770129		5431	20230811095709
11371	QR-Code	770142		48293	20230902173437
11372	Dezentrales_Netzwerk	770182		1062	20220319231743
11373	ATM25	770225		977	20160814095515
11374	Prevayler	770260		1553	20151129012703
11375	Generic_Access_Network	770288		6216	20230814181927
11376	William_W._Tunnicliffe	770332		1259	20160718205008
11377	DX-Cluster	770345		8091	20210708191553
11378	Wissensbilanz	770363		19849	20230615104644
11379	NUnit	770725		3893	20220531065005
11380	Neophyte_(Gruppe)	770825		2308	20230622155600
11381	Assemblage_23	770837		2257	20230502161811
11382	Generation_Data_Group	770850		2292	20220819063403
11383	Communication_and_Networking_Riser	770978		844	20130404055747
11384	Protocol_Extension_Protocol	771000		914	20120206151113
11385	Paul_Elstak	771080		7399	20230303162329
11386	Progressive_Scan	771153		95	20081011185655
11387	Internet_Media_Type	771237		5975	20230726122447
11388	Application_Programming_Interface	771278		77	20221116202620
11389	Heavy-current	771482		4494	20210804152211
11390	PowerShell	771529		59314	20230808133640
11391	CruiseControl	771568		3056	20220804085533
11392	Paul_Kunz_(Physiker)	771574		1294	20220209190355
11393	Nicholas_Negroponte	771805		6796	20230619201056
11394	JavaScript_Object_Notation	771923		23449	20230829100142
11395	Pegel_(Physik)	772020		189	20210524144315
11396	Datenabgleich	772057		3070	20200628090452
11397	Dataport	772152		21189	20230703083751
11398	Wireless_USB	772392		8220	20230215232659
11399	Scirus	772428		2666	20210302215537
11400	Zeitzugeordnete_Sprachinterpolation	772654		2437	20180724184807
11401	Elm_(E-Mail-Programm)	772680		1704	20180723113520
11402	Comprehensive_TeX_Archive_Network	772773		10802	20230726160407
11403	Telefontastatur	772847		8226	20220302113407
11404	Wetterfax	772887		2361	20230513050845
11405	Neues	772966		9177	20221217222910
11406	Syslog	773217		9446	20230613202133
11407	Musique_concrète	773491		7467	20221215113958
11408	Kingdom_Hearts	773596		61280	20230606231322
11409	Layoutmanager	773847		3013	20171011210420
11410	Blancmange	773952		9954	20230617004338
11411	Permalink	774227		6129	20230619155848
11412	Privates_Carsharing	774286		27017	20230826083711
11413	Sender_Ismaning	774413		22814	20230725201400
11414	Scott_McNealy	774535		2207	20221126141505
11415	ECash	774601		8680	20221130211600
11416	CAST_(Verein)	774609		2160	20221128172222
11417	TCP_Receive_Window	774717		6558	20230628150635
11418	GTR_(Computerspielreihe)	774744		10344	20230808153627
11419	Nexuiz	774774		7377	20230725132335
11420	Spielmodus_(Computerspiel)	774818		51985	20230831213850
11421	Freephone	774823		7192	20221009225430
11422	International_Data_Group	774837		3439	20230805184138
11423	SMTP-Relay-Server	774874		3121	20230822072718
11424	PADEM	774878		944	20230629150125
11425	HDCAM	774884		13847	20230526001848
11426	Dig_(Software)	774885		2696	20210701165333
11427	Mittlere_Erdumlaufbahn	775066		189	20201101213839
11428	Produktkonfigurator	775222		50626	20230112193957
11429	Transaktionsmonitor	775324		7569	20221017112855
11430	PDF/X	775646		11168	20230212222548
11431	Chris_Roberts_(Spieleentwickler)	775795		9691	20230507060831
11432	Tropico	775812		19905	20230525100456
11433	Camper_(Computerspiel)	775924		5900	20230212104647
11434	Ganker_(Computerspiel)	775963		5907	20230829232117
11435	Jan_Müller_(Musiker)	776033		4892	20230428211726
11436	MINERVA	776041		2269	20210128095015
11437	Apache_MyFaces	776297		3021	20230712153135
11438	Quanteninformatik	776338	Category	38	20200517082501
11439	A2-Schaltung	776380		3453	20191015070219
11440	Parasite_Eve_(Computerspiel)	776492		7427	20230804075320
11441	Bundesanstalt_für_den_Digitalfunk_der_Behörden_und_Organisationen_mit_Sicherheitsaufgaben	776997		14345	20230202122044
11442	Rollenhebelschalter	777079		722	20220421112650
11443	Microsoft_Update	777132		10777	20230301214931
11444	Systemsteuerung	777178		14760	20220708051557
11445	Konrad-Zuse-Medaille_für_Verdienste_um_die_Informatik	777198		3499	20220115105505
11446	Personal_System/2	777336		8147	20230620155723
11447	CrossCrypt	777358		2014	20230813214656
11448	Rasterzeileninterrupt	777530		4471	20211219112515
11449	FixFoto	777587		4149	20230615111258
11450	Double_Byte_Character_Set	777641		1055	20230623071618
11451	Computerspielfigur	777666		7204	20230808101737
11452	AFIS-ALKIS-ATKIS-Modell	777805		2845	20230504180438
11453	Zwischenfrequenz	777903		4449	20230624203522
11454	Hünenburg_bei_Bielefeld	777991		8479	20230830152414
11455	Programmpaket	778009		4111	20190126225429
11456	Token-Bucket-Algorithmus	778025		3056	20191118160414
11457	Yetisports	778096		9058	20230521060914
11458	Apache_Web_Services	778134		605	20190718095408
11459	Ziffernanzeigeröhre	778281		2173	20220616113314
11460	UK_National_DNA_Database	778312		2694	20230411143359
11461	Klickbetrug	778336		3865	20221015200428
11462	Faxweiche	778574		4703	20230623160355
11463	Dance_2_Trance	778861		3833	20230303162259
11464	ATC_(Band)	778975		9772	20230814155505
11465	Saturday_Night_Massacre	779040		3265	20230210103021
11466	Aureal_3rd_Dimension_Technology	779311		1544	20170429142546
11467	Puppy_Linux	779354		19982	20211020124911
11468	MMS-Protokoll	779397		7608	20221026221009
11469	Source_(Spiel-Engine)	779474		12405	20230721113926
11470	Anzeigeröhre	779580		1005	20181011205523
11471	Ziffernanzeige	779614		69	20220831165533
11472	Xbox_Game_Studios	779814		20966	20230823185745
11473	El_Goonish_Shive	779851		10238	20230817143247
11474	Hironobu_Sakaguchi	779966		5452	20230421173205
11475	Craig_David	780021		8829	20211031204215
11476	Radarsat-1	780096		3119	20210311175215
11477	Splash_Damage	780210		4751	20230711160123
11478	Problemtyp	780278		2158	20130429123209
11479	Chu_Bong-Foo	780285		3198	20221116120702
11480	Basisklasse	780358		3632	20220814193335
11481	SEM_25	780495		4028	20230325132301
11482	Sender_Kalundborg	780971		6186	20221123204102
11483	Iván_Patachich	781035		3986	20220618053852
11484	Beschreibungslogik	781106		4534	20211015162416
11485	LiveUpdate	781150		2184	20200904175411
11486	Harmonisches_Radar	781156		2423	20230829160904
11487	Gajim	781243		4542	20230601091726
11488	Contract_Net	781433		1162	20190603083853
11489	CORBA_Component_Model	781436		3077	20190823181846
11490	Pascal_FEOS	781503		9185	20230215210436
11491	Science_Citation_Index_Expanded	781569		3908	20221215192157
11492	Gladys_Knight_&_the_Pips	781694		12402	20220730094857
11493	Andi_Gutmans	781776		1453	20190523070019
11494	Mousesports	781900		31808	20230807085029
11495	Asian_Dub_Foundation	781924		4289	20210429134523
11496	Anfasser	781961		2017	20150527130301
11497	Java_Platform,_Standard_Edition	782067		8915	20210427181009
11498	Skyper_(Pager)	782114		4211	20230722174313
11499	Challenge-Response-Authentifizierung	782452		5120	20230612204110
11500	Libcurl	782510		112	20230125082829
11501	Operation_Planning_and_Control	782535		2171	20130402081837
11502	BOND	782536		1479	20220725074004
11503	Arrested_Development_(Fernsehserie)	782645		19869	20230513094108
11504	Phaedon_Avouris	782652		2945	20230102173406
11505	Webcast	782750		2436	20200125182602
11506	Hot_Butter	782907		7682	20230802071008
11507	Jon_Van_Caneghem	783041		11143	20230506090600
11508	Triband	783192		1850	20181226182817
11509	Microsoft_Baseline_Security_Analyzer	783578		4157	20220708051023
11510	Suchwortdichte	783693		1479	20220325130107
11511	Peter_Schnell_(Informatiker)	783708		5786	20230506141850
11512	Uroš_Umek	783718		3992	20230903052933
11513	Bc_(Unix)	783746		5546	20220323131008
11514	Erick_Morillo	783768		8554	20230117171056
11515	Kontrollknoten_(UML)	783901		3222	20230508152832
11516	Audioscrobbler	784039		1585	20220302160310
11517	Rack	784052		9990	20230726093113
11518	RC6	784314		8707	20210629163041
11519	Bit-Slice	784410		4434	20230801205856
11520	Gabba_Front_Berlin	784483		2687	20220508100558
